ID,Author,Author_Greek,Work_Title,Work_Title_English,TLG_or_Ref,Date_Approx,Book_Chapter_Line,Greek_or_Source_Text_Excerpt,English_Translation_or_Summary,Substance_Described,Substance_Latin_Scientific,Ritual_Context,Death_Resurrection_Relevance,Hypothesis_Relevance,Notes
11,Sophocles,Σοφοκλῆς,Τραχίνιαι,Women of Trachis,TLG 0011.007,~450-430 BCE,555-581,"[prose] Nessus claims his blood is a love potion; it is contact poison (Hydra venom)",Hydra venom / Nessus's blood (presented as φίλτρον),Aconite? neurotoxin,None — domestic tragedy,Poison disguised as love-charm; no antidote = death; Heracles burns alive,"H1 + H3 — φίλτρον / φάρμακον reversal; death-anointing vs. life-anointing dialectic"
12,Herodotus,Ἡρόδοτος,Ἱστορίαι,Histories,TLG 0016.001,~440 BCE,4.73-75,"σπέρματα τῆς κανναβίδος ἐπιβάλλουσι τοῖσι διαπύροισι λίθοισι... ὀλολύζουσι","They throw hemp seeds onto red-hot stones; howl with delight",Cannabis (κάνναβις),Cannabis sativa,Scythian funerary purification rite,Psychoactive substance used in funerary rites; ecstatic cry = ritual response,"H1 + H3 — EARLIEST documented psychoactive ritual in Western lit; funerary context; cannabis in adjacent culture to kaneh-bosem Israelite anointing oil hypothesis"
13,Herodotus,Ἡρόδοτος,Ἱστορίαι,Histories,TLG 0016.001,~440 BCE,4.67,"[prose] Enarees divine using willow and linden bark (combined with cannabis)",Cannabis (combined with Hist. 4.73-75),Cannabis sativa,Scythian divination,Divination = accessing death-knowledge; substance enables divine contact,"H1 — cannabis in Scythian religious system; divinatory + funerary + purificatory = complete religio-pharmacological system"
14,Herodotus,Ἡρόδοτος,Ἱστορίαι,Histories,TLG 0016.001,~440 BCE,1.211-212,"[prose] Cyrus deploys unwatered wine as military weapon to incapacitate Massagetae",Wine (ἄκρητος οἶνος — undiluted),Vitis vinifera,Military deception,Wine as incapacitating pharmakon = pharmacological warfare,"H1 — wine as weapon illustrates pharmacological thinking in Herodotean world"
15,Plato,Πλάτων,Φαίδων,Phaedo,TLG 0059.008,~360 BCE,117a-118a,"[prose] Socrates drinks hemlock; numbness ascends from feet to heart; dies saying 'I owe a cock to Asclepius'",Hemlock (κώνειον),Conium maculatum,Philosophical initiation: death as practice (μελέτη θανάτου),"Death by pharmakon as philosophical/mystical initiation; debt to Asclepius = healing-god; dying = being healed","H1 + H2 — Socratic death as philosophical-pharmacological initiation; parallel to Jesus's voluntary death as spiritual act; both die in view of others as witnesses"
16,Plato,Πλάτων,Χαρμίδης,Charmides,TLG 0059.005,~380 BCE,155e,"τὸ φύλλον δύναμίν τινα εἶχεν, ἀλλὰ χωρὶς τῆς ἐπᾠδῆς οὐδὲν ὄφελος","The leaf had power, but without the charm it was of no use",Leaf-drug with incantation,Unspecified,Medical-magical unity,Drug + ritual incantation = complete pharmacological act,"H1 — drug alone insufficient; ritual framing essential; parallel to Jesus's healing with word + touch + anointing"
17,Theophrastus,Θεόφραστος,Περὶ φυτῶν ἱστορία,Historia Plantarum,TLG 0085.001,~300 BCE,9.8.5-6,"τρεῖς κύκλους ξίφει περιγράψαντα δεῖν ἐκτεμεῖν πρὸς ἑσπέραν ὁρῶντα","Must cut [mandrake] facing west after drawing three circles with a sword",Mandrake (μανδραγόρας),Mandragora officinarum,Rhizotomoi harvest ritual: circles; west (death-direction); circumambulation,Ritual harvesting = pharmacological act is simultaneously religious act; west = realm of dead,"H1 — pharmacological practice IS religious practice; the substances are sacred"
18,Theophrastus,Θεόφραστος,Περὶ φυτῶν ἱστορία,Historia Plantarum,TLG 0085.001,~300 BCE,9.9.6,"δίδοσθαι δὲ καὶ ἐπὶ τοῦ ἀνωδύνου τοῖς τεμνομένοις ἢ καιομένοις","Mandrake given as anesthetic to those being cut or cauterized",Mandrake wine (οἶνος μανδραγορίτης),Mandragora officinarum,Surgical anesthesia,First description of surgical anesthesia; death-like sleep → procedure → awakening = resurrection structure,"H1 + H2 — mandrake wine as anesthetic establishes death-sleep/revival pharmacological model; relevant to Passion sponge"
19,Theophrastus,Θεόφραστος,Περὶ φυτῶν ἱστορία,Historia Plantarum,TLG 0085.001,~300 BCE,9.8.7-8,"λέγουσι δ' ὅτι ἐκ τοῦ Κερβέρου στόματος ἐρρύη τὸ ἀκόνιτον","Aconite flowed from the mouth of Cerberus when Heracles dragged him from Hades",Aconite (ἀκόνιτον),Aconitum napellus,Chthonic mythological origin; Hecate's substance,Drug originates in the underworld; aconite = death in plant form,"H1 — drug mythology locates substance at boundary of life and death"
20,Theophrastus,Θεόφραστος,Περὶ φυτῶν ἱστορία,Historia Plantarum,TLG 0085.001,~300 BCE,9.17.1-2,"τοῖς δὲ χρωμένοις ἐπὶ θανάτῳ σήσαμον καὶ οἶνον προστιθέασιν ὅπως βραδύτερον ἀποθνῄσκωσιν","Those using [aconite] for death add sesame and wine to slow the dying",Aconite with retardants,Aconitum napellus,Execution / poisoning,Explicit dose-timing pharmacology for death management,"H1 — death-timing pharmacology; conscious management of dying process; relevant to Passion chronology"
21,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Ἀργοναυτικά,Argonautica,TLG 0001.001,~250 BCE,3.844-857,"νυκτὶ δ' ἐν ὀρφναίῃ φάρμακον ἔντυεν... ἄνθος ἐρυθρόν","In the dark of night she prepared the drug they call Promethean; its flower blood-red",Promethean drug (from Prometheus's blood; midnight harvest),Unknown; aconite/Paeonia,Ritual midnight harvest (Hecate's hour); anointed on Jason's body as χρίσμα,"Drug applied to body surface = χρίω / anointing; makes Jason deathproof","H3 — Medea ANOINTS Jason with pharmakon; protective χρίσμα = same root as χριστός; anointed one = pharmacologically treated one"
22,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Ἀργοναυτικά,Argonautica,TLG 0001.001,~250 BCE,4.50-65,"[prose] Medea prepares sleep-inducing drug for the dragon guarding the Golden Fleece",Sleep-inducer (mandrake? opium? juniper?),Papaver somniferum or Mandragora,Access ritual for sacred object,Dragon put to sleep (death-state) to allow ritual passage; sleep = temporary death,"H1 — pharmacological sleep as gateway to sacred object; ritual structure"
23,Dioscorides,Διοσκουρίδης,Περὶ ὕλης ἰατρικῆς,De Materia Medica,TLG 0058.001,~50-70 CE,4.64,"ὄπιον... ὑπνωτικόν ἐστι· πλεῖον δὲ λαμβανόμενον θανάσιμόν ἐστι","Opium is soporific; in excess it is lethal",Opium (ὄπιον / μηκώνιον),Papaver somniferum,Medical; key component of theriac antidote,Death by opium = permanent sleep; threshold between sleep-dose and death-dose = mystery rite boundary,"H1 + H2 — Dioscorides CONTEMPORARY with early Christianity; documents all relevant substances; opium central to theriac"
24,Dioscorides,Διοσκουρίδης,Περὶ ὕλης ἰατρικῆς,De Materia Medica,TLG 0058.001,~50-70 CE,4.68,"ναρκωτικὴν καὶ καρωτικὴν δύναμιν ἔχει... μανίαν ποιεῖ","[Henbane] has narcotic and benumbing power; causes madness",Henbane (ὑοσκύαμος),Hyoscyamus niger,Possible Dionysiac use; hallucinogenic-narcotic,Madness → death spectrum; small dose = narcosis; medium = hallucination; large = death,"H1 — anticholinergic hallucinations parallel Dionysiac frenzy; possible mystery cult substance"
25,Dioscorides,Διοσκουρίδης,Περὶ ὕλης ἰατρικῆς,De Materia Medica,TLG 0058.001,~50-70 CE,4.75,"οἶνος μανδραγορίτης... τοῖς τεμνομένοις ἢ καιομένοις ὅπως ἀναίσθητοι γένωνται","Wine of mandrake given to those being cut so they may be without sensation",Mandrake wine (οἶνος μανδραγορίτης),Mandragora officinarum,Surgical anesthesia; potential ritual use,Death-like sleep → procedure → awakening; sponge delivery theoretically possible,"H2 — mandrake wine on sponge = pharmacologically plausible mechanism for Passion sponge episode"
26,Dioscorides,Διοσκουρίδης,Περὶ ὕλης ἰατρικῆς,De Materia Medica,TLG 0058.001,~50-70 CE,4.77,"ἀκόνιτον... λέγεται δὲ αὐτὸ ἀπὸ τοῦ Κερβέρου τοῦ ᾅδου σιέλου φύναι κατ' Ἑκάτης","Aconite said to grow from the spittle of Cerberus according to Hecate myth",Aconite (ἀκόνιτον),Aconitum napellus,Chthonic origin myth; Hecate; assassination poison,Drug of underworld origin; by 1st c. CE the mythological-pharmacological framework is stable,"H1 — mythological-pharmacological framework fully canonical by time of Jesus"
27,Dioscorides,Διοσκουρίδης,Περὶ ὕλης ἰατρικῆς,De Materia Medica,TLG 0058.001,~50-70 CE,4.78,"κώνειον... ψυχρὸν τὴν δύναμιν... Ἀθηναῖοι κατεχρήσαντο","Hemlock cold in power... the Athenians used it for execution",Hemlock (κώνειον),Conium maculatum,Athenian execution; Socratic initiation,Institutionalized death by pharmakon; ascending paralysis,"H1 — hemlock as institutional death-pharmakon; Socratic parallel to voluntary philosophical death"
28,Pliny the Elder,Plinius Maior,Naturalis Historia,Natural History,Pliny NH (Latin),~77 CE,25.3-7,"Mithridates... venena cotidie potavit praesumens remedia","Mithridates drank poisons daily, taking antidotes in advance",Mithridate (universal antidote) + multiple poisons,Multiple alkaloids (opium prominent),Royal self-immunization; implicit myth of death-immunity,Man who cannot die: pharmacologically deathproof; structural resurrection mythology,"H1 + H2 — Mithridates as mythological prototype of death-overcoming by chemistry; Pontic origin = Medea's homeland"
29,Pliny the Elder,Plinius Maior,Naturalis Historia,Natural History,Pliny NH (Latin),~77 CE,29.8,"theriacam Andromachi... ab Mithridate rege institutam","The theriac of Andromachus instituted by King Mithridates",Theriac (universal antidote): opium + ~60 ingredients,Papaver somniferum (primary),Medical prophylaxis; royal tradition,Antidote as protection against all death by poison = pharmacological immortality claim,"H1 — antidote tradition links Pontic pharmacology directly to 1st c. CE medical practice"
30,Galen,Γαληνός,Περὶ ἀντιδότων,De Antidotis,TLG 0057.077,~170-190 CE,1.1-2,"ἡ θηριακὴ ἀντίδοτος... Μιθριδάτης ὁ βασιλεὺς πρῶτος συνέταξεν","The theriac antidote first composed by King Mithridates",Theriac: opium + viper flesh + ~60 components,Papaver somniferum (primary); Vipera spp.,Imperial medicine; Galen prepares for Marcus Aurelius,Universal antidote = pharmacological defense against death; explicit lineage Mithridates → Galen,"H1 — Galen systematizes antidote tradition; theriac as death-conqueror in medicine"
31,Galen,Γαληνός,Περὶ θηριακῆς πρὸς Πίσωνα,De Theriaca ad Pisonem,TLG 0057.081,~170-190 CE,passim,"τὴν ψυχὴν ἀπολλυμένην... ἡ θηριακὴ σώζει","The theriac saves the soul/life from perishing",Theriac,Opium-based compound,Medical; implicit mythological framing,Galen frames theriac in soteriological language: 'saves' (σώζει) = same verb as Christian soteriology,"H2 — pharmacological salvation vs. spiritual salvation; same linguistic framework"
32,Plutarch,Πλούταρχος,Περὶ Ἴσιδος καὶ Ὀσίριδος,De Iside et Osiride,TLG 0007.062,~100 CE,ch.16 passim,"τὸν Ὄσιριν ἀναστῆσαι φαρμάκοις... εἰς ταὐτὸ συνάγει τοῖς Διονύσου μύθοις","Isis raised Osiris with pharmaka; Plutarch aligns this with Dionysus myths",Isis's resurrection pharmaka (unspecified),Unknown ritual herbs,Cross-cultural mystery religion comparison,"Isis uses PHARMAKA in resurrection of Osiris; Dionysus parallel made explicit by Plutarch","H1 — pharmakon + resurrection = universal mystery religion structure; documented by neutral observer"
33,Clement of Alexandria,Κλήμης Ἀλεξανδρεύς,Προτρεπτικός,Protrepticus,TLG 0555.001,~195 CE,2.21.2,"ἐνήστευσα, ἔπιον τὸν κυκεῶνα, ἔλαβον ἐκ κίστης","I fasted; I drank the kykeon; I took from the chest",Kykeon (Eleusinian initiatory drink),Barley + pennyroyal + possibly ergot,Eleusinian Mystery initiation (Clement reveals the synthema),Initiate drinks kykeon as central act; mediates death/rebirth experience,"H1 — Eleusinian synthema confirmed; kykeon as the initiatory substance; Clement (Christian!) reveals it as polemical"
34,Pausanias,Παυσανίας,Ἑλλάδος Περιήγησις,Description of Greece,TLG 0525.001,~2nd c. CE,1.38.7,"ὄναρ δέ μοι κεκώλυκεν ἐς τὸν ἐντὸς τείχους γράφειν χῶρον","A dream forbade me to describe the things within the sanctuary wall",Kykeon (implied; initiatory secret),Unknown initiatory substances,Eleusinian sanctuary; initiate observes prohibition on revelation,Sanctuary secrets confirm initiatory substances were guarded knowledge,"H1 — the secrecy itself confirms something worth keeping secret; guards pharmacological ritual"
35,Orphic Gold Tablets (Pelinna),Ὀρφικαί,Gold Burial Tablets,Bacchic/Orphic tablets,Inscriptions (ca. 325 BCE),~325 BCE,Pelinna tablet lines 1-5,"νῦν ἔθανες καὶ νῦν ἐγένου, τρισόλβιε, ἄματι τῷδε","Now you have died and now you have been born on this same day. Tell Persephone that Bacchios himself released you",Bacchic initiatory experience (implied substance),Possibly wine; ergot; other substances,Orphic/Bacchic funerary initiation; underworld navigation,Death and rebirth on SAME DAY; Dionysus as liberator from death; direct resurrection formula,"H1 + H2 — death/rebirth on same day = pharmacological timing of initiation; Dionysus = liberator = structural parallel to Christ"
36,Josephus,Ἰώσηπος,Ἰουδαϊκὸς Πόλεμος,Jewish War,TLG 0526.003,~75 CE,2.8.5-7,"[prose] Josephus describes Essene initiation with mystery cult framing; three-year probation; sacred meals; ritual purification",Essene ritual food (controlled substances implied),N/A,Essene community meals; three-year initiatory hierarchy; ritual purity,Initiation structure parallel to mystery cult; Josephus uses Greek mystery language to describe Jewish sect,"H2 — John the Baptist likely connected to Essene milieu; Jesus underwent John's initiation; Essene ≈ mystery cult structure"
37,Josephus,Ἰώσηπος,Ἰουδαϊκὸς Πόλεμος,Jewish War,TLG 0526.003,~75 CE,7.8.7,"ἐκ μέθης... ἡ ψυχὴ ἐλευθερωθεῖσα... ἐπανέρχεται","As from drunkenness the soul, freed, returns",Sleep/drunkenness as death-analogue,Wine (metaphorical),Eleazar's speech at Masada; philosophical death-contemplation,Soul leaves body in drunkenness = pharmacological death-simulation; return = resurrection,"H2 — Jewish Hellenistic synthesis: Greek mystery/pharmacological language used by Jewish military leader"
38,Babylonian Talmud,Aram./Heb.,Sanhedrin,Tractate Sanhedrin,b.Sanhedrin 43a,~500 CE (codification of earlier traditions),43a,"כשמוציאין אותו ליהרג... נותנין לו קורט של לבונה בכוס של יין... ונשים יקרות שבירושלים היו מתנדבות","When one is led out to execution, he is given a grain of frankincense in a cup of wine to numb his senses... the noble women of Jerusalem donated and brought this",Narcotic wine (wine + frankincense/lbonah),Boswellia sacra in Vitis vinifera,Jewish legal-charitable practice: institutionalized pharmacological death preparation,JEWISH LAW mandated narcotic wine before execution; Jesus was offered this (Mark 15:23) and REFUSED,"H2 — CRITICAL EVIDENCE: Jewish execution practice was pharmacological; Jesus's refusal was deliberate conscious choice; not a mystery cult import but indigenous Jewish pharmacological tradition"
39,Mark,Μάρκος,Κατὰ Μάρκον,Gospel of Mark,TLG 0031.001,~70 CE,15:23,"καὶ ἐδίδουν αὐτῷ ἐσμυρνισμένον οἶνον· ὃς δὲ οὐκ ἔλαβεν","They offered him myrrh-mixed wine; but he did not take it",Myrrh-wine (ἐσμυρνισμένον οἶνον),Commiphora myrrha in Vitis vinifera,Crucifixion; parallels Talmudic death-narcotic tradition,Jesus REFUSES the death-analgesic preparation = deliberate pharmacological choice,"H2 — refusal of Talmudic death-narcotic shows Jesus was pharmacologically aware and made a conscious decision"
40,Matthew,Ματθαῖος,Κατὰ Ματθαῖον,Gospel of Matthew,TLG 0031.002,~80-90 CE,27:34,"ἔδωκαν αὐτῷ πιεῖν οἶνον μετὰ χολῆς μεμιγμένον· καὶ γευσάμενος οὐκ ἤθελεν πίειν","Wine with gall offered; having tasted he refused",Gall-wine (οἶνος μετὰ χολῆς),Citrullus colocynthis or Artemisia absinthium,Crucifixion preparation,Tasting then refusing: recognized and rejected the pharmacological preparation,"H2 — two death-pharmaka offered and refused; sequence shows conscious pharmacological literacy"
41,John,Ἰωάννης,Κατὰ Ἰωάννην,Gospel of John,TLG 0031.004,~90-100 CE,19:29-30,"σκεῦος ἔκειτο ὄξους μεστόν· σπόγγον οὖν μεστὸν τοῦ ὄξους ὑσσώπῳ περιθέντες","A vessel full of sour wine; sponge on hyssop branch brought to his mouth; he receives it and dies",Sour wine (ὄξος) on hyssop-mounted sponge,Acetum; possibly spiked with mandrake or opium,Crucifixion; liturgically freighted (hyssop = LXX purification plant: Ps 51:7; Ex 12:22),Jesus accepts ὄξος → immediately dies; in sequence: refuse A → refuse B → accept C → die,"H2 — pharmacological death sequence; sponge delivery mechanism consistent with mandrake wine; hyssop = LXX purification = ritual framing"
42,John,Ἰωάννης,Κατὰ Ἰωάννην,Gospel of John,TLG 0031.004,~90-100 CE,19:39-40,"ἦλθεν δὲ καὶ Νικόδημος... μίγμα σμύρνης καὶ ἀλόης ὡς λίτρας ἑκατόν","Nicodemus came bringing myrrh and aloe mixture, about 100 litrai (~33 kg)",Myrrh + aloe burial mixture (100 litrai),Commiphora myrrha + Aloe vera / Aquilaria agallocha,Jewish burial preparation,Massive pharmacologically active substances at burial; quantity far exceeds normal embalming,"H2 — extraordinary quantity of pharmaka at burial; aloe may be Aquilaria (narcotic/sedative properties)"
43,Mark,Μάρκος,Κατὰ Μάρκον,Gospel of Mark,TLG 0031.001,~70 CE,6:3,"οὐχ οὗτός ἐστιν ὁ τέκτων, ὁ υἱὸς Μαρίας","Is not this the craftsman (τέκτων), the son of Mary?",N/A — biographical,N/A,None,Jesus identified as τέκτων (craftsman/builder) from Nazareth — 4 miles from Sepphoris (Greco-Roman city),"H2 — geographical argument: τέκτων in Hellenized Galilee would have worked in Greco-Roman urban environment; exposure to mystery culture virtually certain"
44,Mark,Μάρκος,Κατὰ Μάρκον,Gospel of Mark,TLG 0031.001,~70 CE,14:3-9,"[prose] woman anoints Jesus's head with pure nard (νάρδος πιστική) worth 300 denarii",Spikenard (νάρδος πιστική),Nardostachys jatamansi,Anointing before Passion; possibly initiatory,Pharmacologically active anointing immediately before death; Jesus anointed with narcotic-sedative plant,"H3 — Jesus physically anointed with pharmacologically active nard before his passion; the χριστός is literally smeared with active substance"
45,Mark,Μάρκος,Κατὰ Μάρκον,Gospel of Mark,TLG 0031.001,~70 CE,6:13,"καὶ δαιμόνια πολλὰ ἐξέβαλλον, καὶ ἤλειφον ἐλαίῳ πολλοὺς ἀρρώστους καὶ ἐθεράπευον","They cast out many demons and anointed with oil many sick and healed them",Healing oil (ἔλαιον),Olive oil + active additives (possibly Exodus 30:22-25 formula),Healing ministry; anointing as physical healing act,Anointing oil = active pharmacological healing agent; not symbolic; disciples routinely anointed sick,"H3 — early Christian healing practice was physical anointing with oil; directly continuous with OT anointing tradition"
46,James,Ἰάκωβος,Ἐπιστολὴ Ἰακώβου,Epistle of James,TLG 0031.004 (NT),~60-80 CE,5:14,"εὐχέτωσαν ἐπ' αὐτὸν ἀλείψαντες ἐλαίῳ ἐν τῷ ὀνόματι τοῦ κυρίου","Let them pray over him, anointing him with oil in the name of the Lord",Anointing oil (ἔλαιον),Olive oil (+ active additives assumed from OT prescription),Church healing practice; elders anoint sick,Physical anointing with oil as active healing sacrament; not symbolic gesture,"H3 — anointing in early church was physical healing practice; continuous from χριστός etymology through institutional practice"
47,Paul,Παῦλος,Πρὸς Ῥωμαίους,Romans,TLG 0031 (NT),~57 CE,6:3-4,"ἢ ἀγνοεῖτε ὅτι ὅσοι ἐβαπτίσθημεν εἰς Χριστὸν Ἰησοῦν, εἰς τὸν θάνατον αὐτοῦ ἐβαπτίσθημεν;","Do you not know that all of us who have been baptized into Christ Jesus were baptized into his death?",Baptism (water immersion),Water — death element,Christian baptism as death/rebirth initiation rite,Paul EXPLICITLY frames baptism as death; burial with Christ; resurrection to new life — mystery structure stated plainly,"H2 — Paul's baptism theology is mystery initiation theology; death-submersion = mystery initiation = John's rite"
48,Paul,Παῦλος,Πρὸς Κορινθίους Α,1 Corinthians,TLG 0031 (NT),~55 CE,11:20-22,"συνερχομένων ὑμῶν ἐπὶ τὸ αὐτό, οὐκ ἔστιν κυριακὸν δεῖπνον φαγεῖν. ἕκαστος γὰρ τὸ ἴδιον δεῖπνον προλαμβάνει ἐν τῷ φαγεῖν, καὶ ὃς μὲν πεινᾷ, ὃς δὲ μεθύει","When you come together it is not the Lord's supper you eat; one goes hungry another gets drunk (μεθύει)",Wine (significant quantity at Eucharist),Vitis vinifera,Eucharistic meal; early Corinthian practice,Corinthian Christians are becoming PHYSICALLY INTOXICATED at the Eucharist; pharmacological effect not metaphorical,"H2 — early Christian Eucharist involved enough wine to produce intoxication; mystery cult parallels documented by Justin Martyr and Julian"
49,Justin Martyr,Ἰουστῖνος Μάρτυς,Ἀπολογία Α,First Apology,TLG 0645.001,~155 CE,66,"[Greek/Latin] The wicked devils imitated in the mysteries of Mithras commanding the same thing to be done [bread and cup]",N/A — polemical comparison,N/A,Justin comparing Christian Eucharist to Mithraic mystery meal,Justin ADMITS Mithraic mystery meal = Eucharist structurally; can only explain by diabolical mimicry,"H2 — most prominent 2nd c. Christian apologist confirms Eucharist parallels mystery cult; hostile evidence within Christianity itself"
50,Tertullian,Tertullianus,De Praescriptione Haereticorum,Prescription Against Heretics,N/A (Latin),~200 CE,40,"diabolus... oblationem panis et calicis... imitatur","The devil imitates the oblation of bread and cup",N/A — polemical,N/A,Tertullian comparing Christian sacraments to Mithraic rites,Tertullian admits Mithraic parallels to baptism; resurrection imagery; bread and cup — explains by devil's mimicry,"H2 — second major Christian author confirms the structural identity of Christian and mystery cult practice"
51,Pliny the Younger,Plinius Minor,Epistulae,Letters,Pliny Ep. (Latin),~112 CE,10.96,"carmen Christo quasi deo dicere... cibum promiscuum tamen et innoxium","They sing a hymn to Christ as to a god... partake of food — ordinary and innocent",Wine + food at nocturnal sacred meal,Vitis vinifera,Early Christian community meeting: nocturnal; antiphonal singing; oath; sacred meal,Christian meetings have mystery cult structure: nocturnal timing; ritual song; oath; sacred meal,"H2 — Roman governor describes Christian practice in mystery cult terms; hostile witness confirming structural identity"
52,Celsus,Κέλσος,Ἀληθὴς Λόγος (in Origen Contra Celsum),True Word (in Against Celsus),TLG 2042.001 (Origen),~175 CE,1.28; 1.38,"[Origen cites Celsus]: Ἰησοῦς... ἐν Αἰγύπτῳ μαθὼν δυνάμεις ἐπεδείξατο","Jesus, having learned powers in Egypt, displayed them",Egyptian magic / pharmaka,Egyptian pharmacological tradition (cf. Helen's nepenthes; Isis's pharmaka),Jesus as γόης (sorcerer) who learned in Egypt = Egyptian magical-pharmacological tradition,"Celsus frames Jesus as pharmacological-magical practitioner from Egypt; Egypt = drug source in Greek tradition","H2 — hostile pagan witness frames Jesus in Egyptian-pharmacological tradition; Celsus has no Christian bias"
